Sprint,Summary,Description,Assignee,Priority,Status
Sprint 1,Add automatic backup,,John Shidemantle,Medium,Done
Sprint 1,Fix navbar image and website icon,,John Shidemantle,Medium,Done
Sprint 2,Create admin page to view submitted forms,,,Medium,To Do
Sprint 1,Complete 2/11 security fixes (see OCC-Report),,John Shidemantle,Medium,Done
Sprint 1,Fix required fields in the mobile forms,,Thomas Gray,Medium,Done
Sprint 1,Compress images before uploading,,John Shidemantle,Medium,Done
Sprint 1,Create a submission screen when you submit the form.,,Thomas Gray,Medium,Done
Sprint 1,Fix Security Concerns 2/5/2026,,Bradley Hicks,Medium,Done
Sprint 1,Create README for instructions with testing suite,,John Shidemantle,Medium,Done
Sprint 1,Fix broken tests in playwright suite,,John Shidemantle,Medium,Done
Sprint 1,Address Cybersecurity Concerns from document sent in discord,,John Shidemantle,Highest,Done
Sprint 1,Add the paper form parameters to mobile interface & handle url security for mobile interface.,,Thomas Gray,Medium,Done
Sprint 1,Set up CodeQL,,John Shidemantle,Medium,Done
Sprint 1,Add ability to delete individuals/churches/team members,,Bradley Hicks,Medium,Done
Sprint 1,Fix bug where my notes doesnt display anything in the profile page,,Will Morrow,Medium,Done
Sprint 1,"Fix bug where if a position is ""ended"" it still shows up in a team member's profile",,Will Morrow,Medium,Done
Sprint 1,Fix bug where county filter in Team Members does not work properly,,Will Morrow,Medium,Done
Sprint 1,Fix handling of church affiliation link in teamMember when the church does not exist,,Bradley Hicks,Medium,Done
Sprint 1,Fix church affiliation field to pick from a list of churches to prevent bad input information and name confusion,,Bradley Hicks,Medium,Done
Sprint 1,Add warning when a user with duplicate information is being added,"If you add a person with the same email and same information it can “override"" the existing user and mess up credentials and access. Add a check and warning if an email is entered twice.",Bradley Hicks,Medium,Done
Sprint 1,Create testing suite,,John Shidemantle,Medium,Done
Sprint 1,develop supabase connection and functionality for app prototype,,Bradley Hicks,Medium,Done
Sprint 1,create web structure for new page to hold the prototype for the app,,Thomas Gray,Medium,Done
Sprint 1,figure out onRender hosting and solidify deployment,,John Shidemantle,Medium,Done
Sprint 1,refactor code base for clarification,,Will Morrow,Medium,Done
Sprint 1,"Add 'city' field for churches in the database, and fix the existing create/read/update/delete functions 
to include the new field.","* includes fixing duplicate entry change bug
* fix dropdowns for selecting church to include the city in the case of duplicates",Bradley Hicks,High,Done
Sprint 1,Add automatic sign-out for users,,John Shidemantle,High,Done
